title,year,director,genre,producer,country,actors,length,budget
Одержимость,2014,Дамьен Шазель,"драма,музыкальный фильм","Хелен Эстабрук,Мишель Литвак,Дэвид Ланкастер",,"Майлз Теллер,Дж. К. Симмонс",106 мин.,"3,3 млн $"
Отступники,2006,Мартин Скорсезе,"детектив,драма,триллер","Брэд Грей,Брэд Грей",,"Леонардо Ди Каприо,Мэтт Деймон,Джек Николсон",151 мин,90 млн 
Американская история Икс,1998,Тони Кэй,"детектив,драма",Джон Мориссей,,"Эдвард Нортон,Эдвард Фёрлонг,Беверли Д’Анджело,Эвери Брукс,Стейси Кич,Файруза Балк",119 мин.,20 млн 
Король Лев,1994,Роджер Аллерс,"мультфильм,приключение,драма","Проблема с животиком, , , (,Один за другим, , , (,Возвышенность, , , (",,,88 мин,45 млн
Леон,1994,Люк Бессон,"боевик,детектив,драма",,,"Жан Рено,Натали Портман,Дэнни Айелло,Гэри Олдмен",,16 млн $
Психо,1960,Альфред Хичкок,"хоррор,фильм-тайна,триллер",Альфред Хичкок,,"Энтони Перкинс,Вера Майлз,Джон Гэвин,Мартин Болсам,Джон Макинтайр,Джанет Ли",109 минут,$806 947
Гладиатор,2000,Ридли Скотт,"боевик,приключение,драма",,,"Рассел Кроу,Хоакин Феникс,Конни Нилсен",155 мин.,103 млн 
Паразиты,2019,Пон Чжун Хо,"драма,триллер","Чжан Ён Хван,Квак Син Э,Пак Мён Хун,Пон Чжун Хо",Республика Корея,"Сон Кан Хо,Чо Ёджон,Пак Со Дам,Пак Со Джун,Чхве У Сик",132 мин,"11,4 млн $"
Пианист,2002,Роман Полански,"байопик,драма,музыкальный фильм",,,"Эдриен Броуди,Томас Кречман",150 мин.,35 млн 
Назад в будущее,1985,Роберт Земекис,"приключение,кинокомедия,научная фантастика",,,"Майкл Джей Фокс,Кристофер Ллойд,Криспин Гловер,Лиа Томпсон",116 мин.,19 млн 
Унесённые призраками,2001,Хаяо Миядзаки,"мультфильм,приключение,семейный фильм",,Япония,,59:51,
Интерстеллар,2014,Кристофер Нолан,"приключение,драма,научная фантастика",Кристофер Нолан,[4],"Мэттью Макконахи,Энн Хэтэуэй,Джессика Честейн,Билл Ирвин,Эллен Бёрстин,Майкл Кейн",169 мин,165 млн
Зелёная миля,1999,Фрэнк Дарабонт,"детектив,драма,фэнтези",Фрэнк Дарабонт,,"Том Хэнкс,Дэвид Морс,Бонни Хант,Майкл Кларк Дункан,Джеймс Кромвелл,Майкл Джетер,Грэм Грин,Даг Хатчинсон,Сэм Рокуэлл,Барри Пеппер,Джеффри ДеМанн,Патриша Кларксон,Гарри Дин Стэнтон",189 мин,60 млн
